CustomerID,Recency,Frequency,Monetary
12347,-0.091606469,-0.020211506,-0.071971831
12348,2.934950502,-0.290653038,0.417286797
12352,-0.113860564,0.340377204,-0.177668811
12358,2.400852213,-0.470947393,0.467211147
12359,0.197696771,-0.110358683,-0.0589915
12360,0.420237725,-0.380800215,-0.115334695
12362,-0.736975235,0.520671559,-0.141437998
12363,2.044786687,-0.470947393,-0.067407319
12364,-0.18062285,-0.290653038,-0.189365373
12365,-0.915007998,-0.380800215,-0.210904164
12371,-0.581196567,-0.470947393,0.017749358
12372,2.22281945,-0.380800215,-0.053713783
12375,-0.736975235,-0.380800215,-0.048863989
12377,-0.047098278,-0.470947393,-0.108202645
12379,0.73179506,-0.380800215,-0.113908285
12380,-0.358655613,-0.20050586,-0.040162888
12381,-0.269639232,-0.110358683,-0.127031257
12383,0.286713152,-0.110358683,-0.14742892
12384,0.219950866,-0.380800215,-0.140582152
12386,-0.269639232,-0.470947393,0.163528459
12388,0.420237725,-0.110358683,-0.013061098
12393,2.934950502,-0.290653038,-0.056994526
12394,2.51212269,-0.470947393,0.262521313
12395,-0.825991616,0.700965913,-0.140724793
12397,1.310401539,-0.470947393,-0.136873486
12399,0.509254106,-0.290653038,-0.14172328
12403,-0.915007998,-0.470947393,0.564207027
12406,1.310401539,-0.380800215,0.023597639
12407,0.976590109,-0.20050586,-0.093367981
12408,-0.915007998,0.160082849,-0.050860963
12409,-0.892753902,-0.020211506,0.973729336
12410,-0.75922933,-0.380800215,-0.062842807
12412,0.487000011,-0.380800215,-0.122894668
12413,2.868188215,-0.20050586,-0.162263584
12414,-0.692467044,-0.380800215,0.035864765
12415,-0.915007998,1.692584865,1.858674097
12417,-0.336401518,0.430524381,-0.151993432
12421,1.288147444,-0.20050586,-0.159696046
12422,0.709540964,-0.380800215,-0.115905259
12423,1.265893349,0.160082849,-0.20034873
12424,-0.915007998,-0.470947393,0.427556949
12427,-0.692467044,-0.20050586,-0.121040335
12428,0.932081918,0.430524381,-0.035170453
12429,2.712409548,-0.290653038,0.141704386
12431,-0.358655613,0.971407446,-0.028466326
12432,-0.915007998,-0.20050586,0.258527365
12433,-0.915007998,-0.020211506,0.044565866
12434,2.756917739,-0.290653038,-0.207623421
12437,-0.736975235,1.061554623,-0.062272243
12438,1.889008019,-0.470947393,0.013327487
12444,-0.091606469,-0.20050586,-0.006356971
12449,0.620524583,-0.290653038,-0.10606303
12450,-0.536688376,-0.470947393,-0.056851885
12451,-0.670212949,-0.110358683,-0.050860963
12452,-0.915007998,-0.380800215,-0.144005536
12455,0.286713152,-0.110358683,-0.018766738
12456,0.509254106,-0.290653038,-0.060988474
12457,-0.736975235,0.430524381,-0.007498099
12461,0.420237725,-0.470947393,-0.072685036
12462,-0.558942472,-0.290653038,-0.187083117
12463,-0.75922933,-0.020211506,-0.198494397
12464,-0.647958853,0.069935672,0.186351019
12465,-0.692467044,-0.380800215,-0.204485319
12468,0.064172199,-0.380800215,-0.151565509
