CustomerID,Recency,Frequency,Monetary
12347,-0.138237063,-0.039867832,-0.07900119
12348,2.879043557,-0.30472545,0.484236252
12352,-0.16042295,0.313275658,-0.200680183
12358,2.346582271,-0.481297195,0.541709461
12359,0.150179466,-0.128153705,-0.064058156
12360,0.372038336,-0.393011323,-0.128920777
12362,-0.781627784,0.489847404,-0.158971055
12363,1.991608081,-0.481297195,-0.073746497
12364,-0.226980611,-0.30472545,-0.214145335
12371,-0.626326576,-0.481297195,0.024286376
12372,2.169095176,-0.393011323,-0.057982417
12375,-0.781627784,-0.393011323,-0.052399305
12377,-0.09386529,-0.481297195,-0.120710319
12379,0.682640752,-0.393011323,-0.127278686
12380,-0.404467706,-0.216439577,-0.042382546
12381,-0.315724159,-0.128153705,-0.142385929
12383,0.238923014,-0.128153705,-0.16586784
12384,0.172365353,-0.393011323,-0.1579858
12386,-0.315724159,-0.481297195,0.192108144
12388,0.372038336,-0.128153705,-0.011182805
12393,2.879043557,-0.30472545,-0.061759228
12394,2.457511706,-0.481297195,0.306069306
12395,-0.870371332,0.666419149,-0.158150009
12397,1.259473812,-0.481297195,-0.153716361
12399,0.460781883,-0.30472545,-0.159299473
12406,1.259473812,-0.393011323,0.031018951
12407,0.926685509,-0.216439577,-0.103632566
12408,-0.959114879,0.136703913,-0.054698234
12409,-0.936928992,-0.039867832,1.124816212
12410,-0.803813671,-0.393011323,-0.068491804
12412,0.438595996,-0.393011323,-0.137623863
12413,2.812485896,-0.216439577,-0.182945593
12414,-0.73725601,-0.393011323,0.04514094
12415,-0.959114879,1.637563748,2.143569884
12417,-0.382281819,0.401561531,-0.171122533
12421,1.237287925,-0.216439577,-0.179989828
12422,0.660454866,-0.393011323,-0.129577614
12423,1.215102038,0.136703913,-0.226789441
12427,-0.73725601,-0.216439577,-0.135489144
12428,0.882313735,0.401561531,-0.036635225
12429,2.657184688,-0.30472545,0.166984142
12431,-0.404467706,0.931276767,-0.028917395
12432,-0.959114879,-0.216439577,0.301471449
12433,-0.959114879,-0.039867832,0.055157699
12434,2.701556462,-0.30472545,-0.235164108
12437,-0.781627784,1.019562639,-0.067834967
12438,1.836306872,-0.481297195,0.019195891
12444,-0.138237063,-0.216439577,-0.003464974
12449,0.571711318,-0.30472545,-0.118247181
12450,-0.581954802,-0.481297195,-0.061595019
12451,-0.715070123,-0.128153705,-0.054698234
12455,0.238923014,-0.128153705,-0.017751171
12456,0.460781883,-0.30472545,-0.066357085
12457,-0.781627784,0.401561531,-0.004778647
12461,0.372038336,-0.481297195,-0.079822236
12462,-0.604140689,-0.30472545,-0.211517988
12463,-0.803813671,-0.039867832,-0.224654722
12464,-0.692884236,0.048418041,0.218381611
12465,-0.73725601,-0.393011323,-0.231551507
12468,0.017064145,-0.393011323,-0.170629906
12471,-0.781627784,3.668138818,0.111645652
12472,-0.936928992,0.489847404,-0.206263295
12473,-0.959114879,0.136703913,-0.206591713
12474,-0.848185445,1.990707238,-0.212174825
12476,-0.648512462,1.107848512,-0.060609764
12477,-0.204794724,0.136703913,0.231518344
12479,-0.936928992,-0.393011323,-0.243867194
12480,1.592262116,-0.30472545,-0.117918763
12481,-0.005121742,0.313275658,-0.046651985
12483,-0.959114879,0.489847404,0.003924439
12484,-0.892557219,0.048418041,-0.257003927
12488,-0.293538272,-0.393011323,-0.080150655
12490,-0.692884236,0.224989786,-0.10478203
12492,-0.027307629,-0.481297195,-0.251749234
12493,-0.360095933,-0.393011323,-0.170301487
12494,-0.825999558,0.489847404,-0.245180867
12500,-0.692884236,0.489847404,0.594749021
12501,-0.493211254,-0.481297195,-0.253391326
12502,-0.249166498,-0.216439577,-0.051906678
12507,-0.493211254,-0.30472545,0.430375645
12508,-0.892557219,-0.481297195,-0.373099808
12513,-0.337910046,-0.481297195,-0.200187556
12516,1.326031473,-0.481297195,0.360750959
12517,-0.959114879,-0.128153705,-0.326300196
12518,-0.337910046,-0.216439577,-0.19542549
12520,0.438595996,-0.128153705,-0.194276026
12522,-0.692884236,-0.481297195,-0.204128576
12523,-0.559768915,0.489847404,-0.20724855
12524,0.238923014,0.048418041,0.043663057
12526,0.216737127,-0.393011323,-0.163404702
12528,0.238923014,0.048418041,-0.135653353
12530,0.12799358,-0.216439577,-0.075717007
12535,1.148544378,-0.481297195,-0.121859783
12536,-0.16042295,-0.216439577,-0.220877911
12540,-0.692884236,1.019562639,-0.013481733
12541,2.235652837,-0.393011323,-0.1579858
12544,-0.803813671,-0.481297195,-0.175884599
12546,-0.515397141,-0.393011323,-0.200023347
12547,0.882313735,-0.481297195,-0.041233082
12552,-0.936928992,-0.481297195,-0.108394631
12553,-0.936928992,0.578133276,-0.16192682
12556,1.281659699,-0.481297195,-0.385908123
12557,2.191281063,-0.216439577,5.498855792
12560,1.148544378,-0.30472545,-0.157000545
12562,-0.648512462,-0.039867832,-0.098213663
12565,-0.803813671,-0.481297195,-0.252406071
12566,-0.648512462,-0.481297195,-0.183109802
12567,0.682640752,0.313275658,-0.144520648
12569,-0.959114879,2.432136601,-0.118411391
12571,0.860127848,-0.481297195,-0.216936891
12572,-0.09386529,-0.393011323,-0.201665438
12576,0.372038336,-0.128153705,-0.226625232
12579,-0.848185445,-0.393011323,-0.250271352
12582,0.150179466,-0.481297195,-0.086226394
12583,-0.604140689,0.931276767,0.002282347
12584,-0.825999558,0.931276767,-0.22104212
12585,-0.848185445,-0.30472545,-0.132204961
12589,1.614448003,-0.481297195,-0.164389957
12590,-0.493211254,-0.393011323,1.845530246
12592,1.725377438,-0.481297195,-0.068656013
12593,-0.493211254,-0.393011323,-0.140908046
12594,-0.759441897,0.313275658,-0.009704922
12597,-0.670698349,-0.216439577,-0.185244521
12598,-0.73725601,0.136703913,-0.097064199
12599,1.192916152,-0.039867832,-0.194440235
12600,0.283294788,0.313275658,0.184226104
12601,-0.892557219,-0.128153705,-0.145341694
12609,1.436960908,-0.393011323,-0.159463682
12610,-0.892557219,-0.039867832,-0.163404702
12612,-0.581954802,-0.481297195,0.035452599
12613,-0.382281819,-0.128153705,-0.143535393
12615,-0.204794724,-0.30472545,-0.109544096
12616,-0.73725601,-0.216439577,-0.168002559
12619,-0.670698349,0.489847404,0.087835323
12620,0.505153657,-0.393011323,-0.228759951
12621,-0.471025367,1.37270613,0.00376023
12624,0.616083092,-0.481297195,-0.190827633
12625,1.215102038,-0.393011323,0.003924439
12626,-0.515397141,0.489847404,-0.126129221
12627,0.238923014,-0.039867832,-0.14813325
12628,-0.648512462,-0.30472545,-0.173914089
12630,-0.204794724,-0.481297195,-0.141729092
12633,0.616083092,-0.216439577,-0.126621849
12635,0.48296777,-0.481297195,-0.193290771
12637,-0.426653593,0.224989786,-0.219728447
12640,-0.936928992,-0.393011323,-0.103960984
12642,-0.404467706,-0.393011323,-0.113813534
12643,0.017064145,-0.128153705,1.820570453
12645,0.505153657,-0.216439577,-0.078344354
